                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6057,                 1.8735,                 2.1688,                0.75388,                0.52778,                0.64711,                0.38359,                 1.5023,                  1.939,                 2.1286,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.5791,                 1.7822,                 2.1397,                0.69096,                0.59722,                0.68176,                0.42311,                 1.4453,                 1.9279,                  2.185,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.5407,                 1.7686,                 2.1313,                0.56484,                0.70056,                0.66791,                0.39804,                 1.4789,                 2.2971,                 2.1799,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.5149,                 1.7694,                 2.0957,                0.70317,                0.60353,                0.70341,                0.41631,                 1.4179,                 1.8637,                 2.1026,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.5257,                 1.7411,                 2.1121,                0.66074,                0.59868,                0.64189,                0.41237,                 1.4657,                 1.8391,                 2.1238,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.5151,                 1.7051,                 2.0669,                0.70925,                0.68808,                0.72234,                0.44778,                   1.33,                  1.641,                 1.9844,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.4922,                 1.6637,                  2.034,                0.82197,                0.51389,                0.65019,                0.38891,                  1.408,                  1.886,                 2.1259,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.4668,                 1.6199,                 2.0498,                 0.6474,                0.65278,                 0.6827,                0.42745,                 1.3712,                 1.7522,                 2.0515,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.4625,                 1.6154,                 1.9989,                0.73128,                0.66667,                0.73612,                0.46321,                 1.3226,                 1.6468,                 1.9948,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.4634,                 1.6177,                 2.0228,                0.69756,                0.73611,                0.72557,                0.47973,                 1.2963,                 1.5473,                 1.9305,             0.00097386,             0.00097386,             0.00097386
